Date,AAPL,MSFT,NVDA,TSLA,AMZN,GOOGL,META,BRK-B,JNJ
2013-01-02,16.596677780151367,12.865500450134277,93.19999694824219,17.95098304748535,48.99431228637695,27.781980514526367,22.192230224609375,0.29341837763786316,2.357332944869995
2013-01-03,16.387191772460938,12.923999786376953,93.62000274658203,17.961410522460938,48.92514419555664,27.553773880004883,21.894941329956055,0.29364916682243347,2.318000078201294
2013-01-04,15.930734634399414,12.957500457763672,93.8499984741211,18.31633186340332,49.485382080078125,28.536060333251953,21.485164642333984,0.3033374547958374,2.293333053588867
2013-01-07,15.837021827697754,13.42300033569336,93.44999694824219,18.23641014099121,49.38162612915039,29.1909236907959,21.444984436035156,0.2945718467235565,2.2893331050872803
2013-01-08,15.879633903503418,13.319000244140625,93.80999755859375,18.200424194335938,49.3885498046875,28.833723068237305,21.332500457763672,0.288112998008728,2.245332956314087
2013-01-09,15.631463050842285,13.317500114440918,93.31999969482422,18.32005500793457,49.60984420776367,30.35181427001953,21.453025817871094,0.28165403008461,2.2426669597625732
2013-01-10,15.825230598449707,13.267000198364258,94.6500015258789,18.40345001220703,49.928016662597656,31.056283950805664,21.260183334350586,0.2821153700351715,2.23533296585083
2013-01-11,15.72819995880127,13.397000312805176,94.38999938964844,18.366470336914062,50.03866195678711,31.473011016845703,21.55748176574707,0.28165403008461,2.194000005722046
2013-01-14,15.167445182800293,13.636500358581543,95.36000061035156,17.95098304748535,50.18389892578125,30.70901107788086,21.605684280395508,0.281423419713974,2.2173330783843994
2013-01-15,14.688918113708496,13.595000267028809,95.36000061035156,17.99268341064453,50.05249786376953,29.86562728881836,21.8627986907959,0.2763484716415405,2.259999990463257
2013-01-16,15.2986421585083,13.446499824523926,95.02999877929688,17.750934600830078,50.19773864746094,29.617576599121094,21.72620391845703,0.2788859009742737,2.2733330726623535
2013-01-17,15.195554733276367,13.52400016784668,95.30000305175781,17.65488052368164,50.4190559387207,29.905315399169922,21.894941329956055,0.2825768291950226,2.2920000553131104
2013-01-18,15.114553451538086,13.605999946594238,95.16000366210938,17.48586082458496,50.647300720214844,29.429058074951172,21.894941329956055,0.2807313799858093,2.301332950592041
2013-01-22,15.25873851776123,13.509499549865723,95.91000366210938,17.445152282714844,50.27382278442383,30.490726470947266,21.814592361450195,0.2793472409248352,2.3459999561309814
2013-01-23,15.538055419921875,13.405500411987305,96.4800033569336,18.403947830200195,50.38447570800781,30.58002471923828,22.184186935424805,0.2798087000846863,2.4000000953674316
2013-01-24,13.618206977844238,13.67300033569336,97.30999755859375,18.71940803527832,50.557369232177734,30.83799934387207,22.200258255004883,0.28119271993637085,2.4660000801086426
2013-01-25,13.297175407409668,14.19950008392334,97.38999938964844,18.706005096435547,51.12451171875,31.294418334960938,22.401140213012695,0.28626757860183716,2.4653329849243164
2013-01-28,13.597959518432617,13.802000045776367,97.12000274658203,18.633031845092773,50.91702651977539,32.21717834472656,22.425235748291016,0.29088103771209717,2.5353329181671143
2013-01-29,13.853084564208984,13.017499923706055,97.23999786376953,18.706253051757812,51.46340560913086,30.55025863647461,22.505582809448242,0.28465285897254944,2.5299999713897705
2013-01-30,13.809556007385254,13.637999534606934,96.87999725341797,18.709978103637695,51.2420654296875,30.996755599975586,22.377029418945312,0.28419139981269836,2.501332998275757
2013-01-31,13.769051551818848,13.274999618530273,96.93000030517578,18.756145477294922,51.12451171875,30.73877716064453,22.055631637573242,0.28280746936798096,2.500667095184326
2013-02-01,13.712522506713867,13.25,98.0,19.250303268432617,51.304317474365234,29.498510360717773,22.441301345825195,0.2853447496891022,2.553333044052124
2013-02-04,13.370933532714844,12.99899959564209,96.51000213623047,18.838790893554688,51.255924224853516,27.891128540039062,22.047603607177734,0.28050076961517334,2.5160000324249268
2013-02-05,13.840089797973633,13.344499588012695,97.91000366210938,19.005582809448242,51.63631820678711,28.41699981689453,22.095813751220703,0.2869596481323242,2.5420000553131104
2013-02-06,13.825275421142578,13.111000061035156,97.83000183105469,19.11553382873535,52.14118576049805,28.823806762695312,21.967248916625977,0.28465285897254944,2.611332893371582
2013-02-07,14.236355781555176,13.011500358581543,97.11000061035156,19.209352493286133,51.9129524230957,28.426918029785156,21.919042587280273,0.2834993898868561,2.631999969482422
2013-02-08,14.441892623901367,13.09749984741211,97.25,19.4927978515625,52.20343017578125,28.32769775390625,22.135986328125,0.2853447496891022,2.615999937057495
2013-02-11,14.592402458190918,12.86050033569336,97.12999725341797,19.41957664489746,52.155025482177734,28.039958953857422,22.385066986083984,0.2885741889476776,2.561332941055298
2013-02-12,14.2266263961792,12.9350004196167,97.69999694824219,19.376890182495117,52.42475509643555,27.15688705444336,22.401140213012695,0.28672894835472107,2.5260000228881836
2013-02-13,14.199566841125488,13.47350025177002,97.97000122070312,19.430496215820312,52.32793045043945,27.69268226623535,22.521656036376953,0.2853447496891022,2.563333034515381
2013-02-14,14.186790466308594,13.461999893188477,99.20999908447266,19.55360221862793,52.43166732788086,28.278087615966797,22.529687881469727,0.29364916682243347,2.551332950592041
2013-02-15,13.991288185119629,13.254500389099121,99.7699966430664,19.679443359375,52.67374038696289,28.099489212036133,22.505582809448242,0.29364916682243347,2.4693329334259033
2013-02-19,13.986123085021973,13.487500190734863,101.0199966430664,20.025924682617188,53.22704315185547,28.704740524291992,22.724327087402344,0.28972771763801575,2.618666887283325
2013-02-20,13.647404670715332,13.320500373840332,100.22000122070312,19.668771743774414,53.012630462646484,28.238399505615234,22.578506469726562,0.2855755388736725,2.569333076477051
2013-02-21,13.562572479248047,13.29699993133545,100.16999816894531,19.744962692260742,53.164791107177734,27.067590713500977,22.27065086364746,0.2834993898868561,2.3440001010894775
2013-02-22,13.706998825073242,13.270999908447266,101.20999908447266,19.848711013793945,53.15780258178711,26.91875648498535,22.48938751220703,0.28880488872528076,2.4073328971862793
2013-02-25,13.463454246520996,12.993499755859375,98.58000183105469,19.6268253326416,52.68376541137695,27.057662963867188,22.173437118530273,0.2837299406528473,2.2920000553131104
2013-02-26,13.651057243347168,12.968000411987305,98.72000122070312,19.61094093322754,52.80923843383789,27.17673110961914,22.173437118530273,0.2870953381061554,2.295332908630371
2013-02-27,13.517271041870117,13.162500381469727,101.20999908447266,19.850452423095703,53.20662307739258,26.66077995300293,22.529890060424805,0.2924334704875946,2.3399999141693115
2013-02-28,13.420890808105469,13.213500022888184,102.16000366210938,19.885696411132812,53.06019592285156,27.037818908691406,22.52178955078125,0.29382607340812683,2.322000026702881
2013-03-01,13.088556289672852,13.286999702453613,102.05000305175781,20.009546279907227,53.471519470214844,27.563695907592773,22.643306732177734,0.2949865162372589,2.309999942779541
2013-03-04,12.771739959716797,13.655500411987305,101.94999694824219,20.38953971862793,53.82011032104492,27.50416374206543,22.80533790588379,0.29382607340812683,2.371999979019165
2013-03-05,13.108928680419922,13.779500007629395,102.66000366210938,20.81395721435547,54.14079666137695,27.305715560913086,22.96735954284668,0.2970753312110901,2.4433329105377197
2013-03-06,12.942306518554688,13.689499855041504,103.23999786376953,20.63475799560547,53.952571868896484,27.236265182495117,22.756725311279297,0.29684314131736755,2.512666940689087
2013-03-07,13.091900825500488,13.694000244140625,103.41000366210938,20.665042877197266,54.20353698730469,28.357467651367188,22.797231674194336,0.296146959066391,2.5486669540405273
2013-03-08,13.126562118530273,13.709500312805176,103.62999725341797,20.638233184814453,54.510292053222656,27.74229621887207,22.683822631835938,0.2975393235683441,2.564666986465454
2013-03-11,13.313557624816895,13.562000274658203,104.06999969482422,20.72014045715332,54.68458557128906,27.920888900756836,22.578506469726562,0.29475441575050354,2.6066670417785645
